map_matching,P,q,q50_error,q80_error,q90_error,q95_error,sub_meter_quantile,variance,mc_variance,run_time,q50_error_lo,q50_error_hi,q80_error_lo,q80_error_hi,q90_error_lo,q90_error_hi,q95_error_lo,q95_error_hi,variance_lo,variance_hi,sub_meter_quantile_lo,sub_meter_quantile_hi
TRUE,0,0.75,0.788119272519943,1.402978819261254,1.6082237713848753,1.8208581479147876,0.6259259259259259,0.0018327865649854216,0.035954157952776226,43.407307624816895,0.7814235245326228,0.7948150205072632,1.3988966820541975,1.4070609564683105,1.602336800722684,1.6141107420470666,1.8131039389154482,1.828612356914127,0.0018061311603150445,0.0018594419696557987,0.6232219113535752,0.6286299404982766
TRUE,100,0.75,0.7716168263942291,1.4084539600609687,1.6170607498630638,1.8444240192920285,0.6289351851851852,0.0018097409347252872,0.06448841789996751,51.28539230028788,0.7658452152670482,0.7773884375214101,1.4043685076486543,1.412539412473283,1.6098462942388703,1.6242752054872573,1.8361677201106517,1.8526803184734053,0.0017806215834420584,0.001838860286008516,0.6256680534479787,0.6322023169223917
TRUE,1000,0.75,0.7670557216997189,1.4062861545616903,1.615653002322944,1.8403008474294713,0.6280864197530864,0.0017918946416508915,0.08188830979180196,51.31429065863291,0.7608469873611707,0.7732644560382671,1.4007410757738257,1.4118312333495548,1.6096295844518669,1.6216764201940213,1.831031381604684,1.8495703132542587,0.0017749193208734938,0.0018088699624282892,0.6249289816679962,0.6312438578381767
TRUE,0,1.5,0.7908793496262212,1.4365029317526852,1.6848305648213568,1.921869764528302,0.6135802469135803,0.0022523324152425475,0.02056860078148664,44.12282593250275,0.7879795242002641,0.7937791750521783,1.4333891050067809,1.4396167584985895,1.6773380382988754,1.6923230913438383,1.9149087468019872,1.928830782254617,0.0022236641910416853,0.0022810006394434097,0.6120145340760301,0.6151459597511304
TRUE,100,1.5,0.7862880765283632,1.4389173299397817,1.6866371518759624,1.9188303571341159,0.6197530864197531,0.0022512604510507277,0.02409233410076481,51.75219685236613,0.7825174172727575,0.7900587357839689,1.4351127550179241,1.4427219048616393,1.6809286976705256,1.6923456060813993,1.911961752234543,1.9256989620336888,0.002220633054304561,0.0022818878477968946,0.6182218227142264,0.6212843501252798
TRUE,1000,1.5,0.7757891264247743,1.4392534283106604,1.6813791302428818,1.9046294316575447,0.617824074074074,0.0022914091882038573,0.0313503152923085,53.264562145868936,0.7711020988169772,0.7804761540325713,1.435755164489226,1.4427516921320949,1.6748273552473656,1.687930905238398,1.897949040298411,1.9113098230166785,0.002259704173792208,0.0023231142026155067,0.6160515148706682,0.6195966332774798
TRUE,0,2,0.7927887265868544,1.4363692324749548,1.7000297661921093,1.936480098094426,0.611574074074074,0.002882334143423018,0.012604934511851002,45.06388549804687,0.7906376602231575,0.7949397929505513,1.4334495458921477,1.439288919057762,1.695974848796582,1.7040846835876367,1.9311151575710097,1.941845038617842,0.002831840149803242,0.0029328281370427944,0.6094792138416937,0.6136689343064544
TRUE,100,2,0.7866157109631429,1.4411681691358058,1.6946268795343453,1.9354371484821207,0.6180555555555556,0.002889023998971133,0.013717586688484643,54.3511336962382,0.7831886980222779,0.7900427239040079,1.4378965396155077,1.444439798656104,1.6898541672258254,1.6993995918428653,1.9299389282148998,1.9409353687493416,0.0028482301937196733,0.0029298178042225925,0.6164115462602417,0.6196995648508694
TRUE,1000,2,0.7842182478762241,1.4450577914078828,1.6874690797321648,1.922373759413157,0.6168981481481481,0.002932107279411532,0.026516343890570043,54.58812794685364,0.780047602608704,0.7883888931437442,1.4416492503258487,1.448466332489917,1.6823603306515955,1.692577828812734,1.9176384730213571,1.9271090458049567,0.002895026664247715,0.0029691878945753486,0.6152460468796026,0.6185502494166937
TRUE,0,2.5,0.7933448965874965,1.4350430295722318,1.7029079599207129,1.9494755148938068,0.6105709876543209,0.0038093462274384126,0.009512208258531692,45.96961943308512,0.7904111807042162,0.7962786124707768,1.4313641366259764,1.4387219225184873,1.6974448907375932,1.7083710291038325,1.942355448936939,1.9565955808506745,0.0037553595535834345,0.0038633329012933908,0.6088458769972285,0.6122960983114134
TRUE,100,2.5,0.7905450692027061,1.4378549247484051,1.699805281048592,1.93228531364264,0.6169753086419753,0.0037398043543651212,0.012182540042552556,53.70354771614075,0.7868784857100318,0.7942116526953803,1.434282858958746,1.4414269905380643,1.6959348602334743,1.7036757018637096,1.9265915537544505,1.9379790735308293,0.0036810409512205273,0.003798567757509715,0.6155801505523708,0.6183704667315797
TRUE,1000,2.5,0.7863707630963167,1.4431103774911156,1.6973818926664637,1.9377594184238018,0.6152006172839506,0.0038728395689871034,0.01748154039365813,54.38624403476715,0.7825689299957045,0.7901725961969289,1.4397284001270727,1.4464923548551585,1.692239639222225,1.7025241461107024,1.931212707306521,1.9443061295410826,0.003811192484068804,0.003934486653905403,0.613549233696268,0.6168520008716332
